Date,agg0,agg10,agg30,agg60,agg120
1992-03-15,0.8,0.23,0.42,0.61,0.8
1992-03-17,0.2,0.04,0.12,0.2,0.2
1992-03-19,1.4,0.29,0.61,0.77,0.77
1992-03-20,4.6,0.31,0.92,1.7,2.92
1992-03-21,2.6,0.44,1.02,1.58,2.35
1992-03-22,12.0,0.33,0.7,1.2,2.31
1992-03-23,6.2,0.64,1.55,2.8,4.44
1992-03-24,2.2,0.33,0.92,1.41,2.05
1992-03-26,0.2,0.09,0.2,0.2,0.2
1992-03-27,0.2,0.07,0.17,0.17,0.17
1992-04-01,0.2,0.2,0.2,0.2,0.2
1992-04-02,11.2,0.52,1.23,2.2,3.62
1992-04-03,0.4,0.08,0.19,0.19,0.19
1992-04-04,2.6,0.48,1.37,1.62,2.2
1992-04-06,0.4,0.33,0.4,0.4,0.4
1992-04-13,2.8,0.82,1.45,1.63,2.58
1992-04-14,0.4,0.31,0.4,0.4,0.4
1992-04-18,1.4,0.5,0.73,0.73,0.73
1992-04-22,0.8,0.1,0.32,0.48,0.8
1992-04-24,2.0,0.33,0.76,1.22,1.78
1992-04-25,2.8,0.35,0.63,1.08,1.6
1992-04-26,4.1,0.3,0.88,1.58,1.85
1992-04-27,4.5,1.4,3.33,4.08,4.35
1992-04-28,12.7,1.3,3.0,4.2,4.2
1992-04-29,0.5,0.5,0.5,0.5,0.5
1992-04-30,1.4,0.15,0.34,0.61,1.02
1992-05-01,19.2,1.05,1.85,3.1,4.78
1992-05-02,0.2,0.2,0.2,0.2,0.2
1992-05-08,2.8,1.21,1.35,1.58,1.8
1992-05-09,0.6,0.25,0.44,0.55,0.6
1992-05-10,2.8,1.4,1.86,1.98,2.8
1992-05-12,7.6,0.76,1.67,2.6,4.44
1992-07-01,3.0,0.43,0.86,1.46,2.19
1992-07-10,10.6,3.9,6.7,8.8,10.6
1992-07-12,3.2,2.6,3.0,3.0,3.0
1992-07-13,1.5,0.22,0.39,0.56,0.67
1992-07-14,8.5,4.0,4.2,4.2,4.2
1992-07-17,15.8,7.6,15.0,15.63,15.8
1992-07-21,4.0,2.91,4.0,4.0,4.0
1992-07-27,0.2,0.2,0.2,0.2,0.2
1992-08-03,2.0,1.46,1.84,1.99,2.0
1992-08-04,1.0,0.97,1.0,1.0,1.0
1992-08-05,2.6,0.4,0.8,1.55,1.6
1992-08-06,0.2,0.18,0.18,0.18,0.18
1992-08-07,1.0,0.18,1.0,1.0,1.0
1992-08-09,1.0,1.0,1.0,1.0,1.0
1992-08-12,1.8,1.5,1.8,1.8,1.8
1992-08-13,9.5,2.21,2.29,2.9,3.0
1992-08-14,0.9,0.11,0.33,0.62,0.89
1992-08-16,0.2,0.06,0.2,0.2,0.2
1992-08-17,8.0,0.3,0.89,1.62,2.82
1992-08-21,2.7,0.17,0.53,0.92,1.57
1992-08-22,15.6,0.25,0.75,1.44,2.6
1992-08-23,1.9,0.07,0.21,0.41,0.78
1992-08-27,9.8,1.3,2.22,2.89,3.8
1992-08-28,1.8,1.02,1.18,1.18,1.18
1992-08-29,10.0,0.8,2.0,3.07,4.43
1992-08-30,3.6,0.87,2.2,3.14,3.6
1992-08-31,4.8,2.8,2.8,2.8,2.81
1992-09-02,6.8,0.76,1.8,3.02,4.14
1992-09-03,7.8,2.64,3.29,3.86,4.98
1992-09-04,4.4,1.01,1.8,3.04,3.19
1992-09-05,3.4,0.93,1.9,3.23,3.4
1992-09-07,2.2,0.31,0.78,1.45,2.2
1992-09-12,0.8,0.4,0.8,0.8,0.8
1992-09-13,4.8,1.6,1.87,2.0,3.5
1992-09-14,5.6,0.37,0.77,1.36,2.26
1992-09-15,12.8,1.6,2.82,3.27,4.63
1992-09-23,0.2,0.2,0.2,0.2,0.2
1992-10-13,0.4,0.13,0.2,0.2,0.2
1992-10-14,1.2,1.0,1.0,1.0,1.0
1992-10-15,18.2,0.9,2.9,5.53,9.4
1992-10-16,2.0,0.13,0.36,0.58,0.98
1992-10-17,0.4,0.3,0.4,0.4,0.4
1992-10-20,0.2,0.2,0.2,0.2,0.2
1992-10-21,1.6,0.24,0.61,0.73,0.8
1992-10-22,0.2,0.05,0.15,0.2,0.2
1992-10-24,0.2,0.05,0.16,0.2,0.2
1992-10-25,1.8,0.83,1.2,1.8,1.8
1992-10-27,0.2,0.11,0.2,0.2,0.2
1992-10-28,14.4,0.9,2.47,4.6,7.68
